,Date,Open,High,Low,Close,Prev. Close,Change,% Change,open %change,low %change,high %change
0,01-NOV-2023,11.825,12.195,11.825,12.0475,11.825,0.22,1.88,,,
1,02-NOV-2023,12.0475,12.0475,10.9475,11.075,12.0475,-0.97,-8.07,1.8816067653276969,1.8816067653276969,-1.247357293868929
2,03-NOV-2023,11.075,11.075,10.635,10.8825,11.075,-0.19,-1.74,-8.07221415231376,1.0583108528740361,-8.07221415231376
3,06-NOV-2023,10.8825,11.28,10.38,11.105,10.8825,0.22,2.04,-1.7381489841986366,2.2347629796839774,-1.7381489841986366
4,07-NOV-2023,11.105,12.1775,11.0,11.1925,11.105,0.09,0.79,2.044566965311281,6.662072134160346,-1.6080863772111087
5,08-NOV-2023,11.1925,11.3325,10.63,11.0375,11.1925,-0.16,-1.38,0.7879333633498455,1.7334533993696604,-8.86987843313822
6,09-NOV-2023,11.0375,11.2525,10.37,10.9825,11.0375,-0.05,-0.5,-1.384855930310486,3.640830913558176,-2.635693544784453
7,10-NOV-2023,10.9825,11.3575,9.86,11.1075,10.9825,0.13,1.14,-0.4983012457531118,5.54926387315969,-2.446206115515285
8,12-NOV-2023,11.1075,11.54,9.7525,11.3475,11.1075,0.24,2.16,1.1381743683132255,11.358980195765996,-2.276348736626451
9,13-NOV-2023,11.3475,11.6325,10.5025,11.1875,11.3475,-0.16,-1.41,2.160702228224175,14.359666891739822,-1.7330632455547963
10,15-NOV-2023,11.1875,11.4175,8.395,11.135,11.1875,-0.05,-0.47,-1.4100022031284436,6.036571932143648,-3.9215686274509833
11,16-NOV-2023,11.135,11.8075,10.6175,11.6475,11.135,0.51,4.6,-0.46927374301676167,24.491620111731844,-2.525139664804475
12,17-NOV-2023,11.6475,12.09,10.19,11.8275,11.6475,0.18,1.55,4.602604400538851,9.250112258643926,-1.4369106421194286
13,20-NOV-2023,11.8275,12.67,11.2,12.1475,11.8275,0.32,2.71,1.5453960077269775,14.058810903627398,-2.2537025112685063
14,21-NOV-2023,12.1475,12.435,10.755,12.2325,12.1475,0.08,0.7,2.705559078418941,8.01099133375609,-4.417670682730916
15,22-NOV-2023,12.2325,12.7075,11.0225,11.865,12.2325,-0.37,-3.0,0.6997324552376956,12.162996501337716,-1.66700967277218
16,23-NOV-2023,11.865,12.14,10.975,11.315,11.865,-0.55,-4.64,-3.00429184549356,6.887390149192719,-6.887390149192719
17,24-NOV-2023,11.315,11.465,8.6775,11.33,11.315,0.02,0.13,-4.635482511588712,2.865571007163926,-6.953223767383069
18,28-NOV-2023,11.33,12.4925,11.065,12.175,11.33,0.85,7.46,0.1325673884224531,23.442333186036237,-1.193106495802031
19,29-NOV-2023,12.175,14.46,11.3325,12.7075,12.175,0.53,4.37,7.458075904677852,9.796999117387479,-2.802294792586046
20,30-NOV-2023,12.7075,13.3525,11.7625,12.69,12.7075,-0.02,-0.14,4.373716632443522,11.293634496919918,-14.394250513347032
21,01-DEC-2023,12.69,12.755,11.7775,12.3825,12.69,-0.31,-2.42,-0.137713948455637,7.298839268148733,-5.213456620106234
22,04-DEC-2023,12.3825,13.16,11.34,12.9925,12.3825,0.61,4.93,-2.4231678486997574,4.767533490937749,-2.9353821907013433
23,05-DEC-2023,12.9925,13.8825,11.475,13.4575,12.9925,0.46,3.58,4.926307288512008,13.345447203714919,-1.3527155259438757
24,06-DEC-2023,13.4575,14.0875,12.6875,13.74,13.4575,0.28,2.1,3.578987877621704,15.258803155666731,-3.2711179526650045
25,07-DEC-2023,13.74,13.74,12.545,12.6725,13.74,-1.07,-7.77,2.0992011889281117,7.8209177038825946,-2.5822032323982924
26,08-DEC-2023,12.6725,12.875,12.135,12.47,12.6725,-0.2,-1.6,-7.769286754002917,0.9279475982532716,-7.769286754002917
27,11-DEC-2023,12.47,13.1225,12.2275,12.7575,12.47,0.29,2.31,-1.597948313276771,2.6435194318406063,-3.1958966265535556
28,12-DEC-2023,12.7575,12.8675,11.6925,12.7125,12.7575,-0.04,-0.35,2.3055332798716894,4.25020048115478,-2.9270248596631934
29,13-DEC-2023,12.7125,12.8175,11.54,12.065,12.7125,-0.65,-5.09,-0.3527336860670188,7.99529688418577,-1.2149715853419507
30,14-DEC-2023,12.065,12.5125,11.0,12.32,12.065,0.26,2.11,-5.09341199606687,4.129793510324486,-5.91937069813177
31,15-DEC-2023,12.32,13.3425,10.8,13.1275,12.32,0.81,6.55,2.1135515955242505,10.940737670949028,-1.595524243680058
32,18-DEC-2023,13.1275,14.1175,13.125,13.9,13.1275,0.77,5.88,6.55438311688311,18.892045454545446,-1.745129870129869
33,19-DEC-2023,13.9,14.12,13.5525,13.8675,13.9,-0.03,-0.23,5.884593410778906,5.903637402399546,-1.6568272709959961
34,20-DEC-2023,13.8675,14.87,12.7775,14.45,13.8675,0.58,4.2,-0.23381294964029237,2.2661870503597084,-1.8165467625899243
35,21-DEC-2023,14.45,15.01,12.2825,13.7575,14.45,-0.69,-4.79,4.2004687218316175,12.060573282855595,-3.028664142779881
36,22-DEC-2023,13.7575,13.9875,12.225,13.7075,13.7575,-0.05,-0.36,-4.792387543252588,10.207612456747404,-8.667820069204149
37,26-DEC-2023,13.7075,14.95,13.7075,14.6775,13.7075,0.97,7.08,-0.3634381246592819,10.775940396147556,-2.035253498091958
38,27-DEC-2023,14.6775,15.7325,14.47,15.5575,14.6775,0.88,6.0,7.076418019332486,7.076418019332486,-1.9879627940908196
39,28-DEC-2023,15.5575,16.47,14.9625,15.14,15.5575,-0.42,-2.68,5.995571452904098,7.40929994890137,-1.1923011412025257
40,29-DEC-2023,15.14,15.4275,14.3725,14.5025,15.14,-0.64,-4.21,-2.683593122288277,1.1409288124698713,-8.548931383577042
41,01-JAN-2024,14.5025,14.8675,14.3275,14.68,14.5025,0.18,1.22,-4.210700132100404,0.8586525759577213,-6.109643328929992
42,02-JAN-2024,14.68,15.08,14.2425,14.58,14.68,-0.1,-0.68,1.2239269091535956,2.430615411136005,-1.292880537838304
43,03-JAN-2024,14.58,14.78,14.0225,14.0975,14.58,-0.48,-3.31,-0.6811989100817415,2.299046321525888,-3.4059945504087197
44,04-JAN-2024,14.0975,14.2075,13.2125,13.33,14.0975,-0.77,-5.44,-3.309327846364883,0.5144032921810651,-4.681069958847731
45,05-JAN-2024,13.33,13.4675,12.4875,12.63,13.33,-0.7,-5.25,-5.444227699946799,0.833481113672635,-6.224507891470115
46,08-JAN-2024,12.63,13.595,12.63,13.4625,12.63,0.83,6.59,-5.2513128282070465,1.069017254313579,-6.282820705176283
47,09-JAN-2024,13.4625,13.505,12.775,13.2625,13.4625,-0.2,-1.49,6.5914489311163855,6.5914489311163855,-1.0490894695170252
48,10-JAN-2024,13.2625,14.5575,12.81,12.97,13.2625,-0.29,-2.21,-1.4856081708449476,3.6211699164345323,-1.8012999071495002
49,11-JAN-2024,12.97,13.19,12.63,12.7675,12.97,-0.2,-1.56,-2.2054665409990473,1.2064090480678615,-11.969839773798293
50,12-JAN-2024,12.7675,13.285,12.42,13.1,12.7675,0.33,2.6,-1.5612952968388631,1.0601387818041579,-3.257517347725516
51,15-JAN-2024,13.1,13.885,11.7875,13.785,13.1,0.69,5.23,2.60426865087135,5.326023105541411,-1.448991580184065
52,16-JAN-2024,13.785,14.0425,12.485,13.5725,13.785,-0.21,-1.54,5.2290076335877895,15.24809160305344,-0.7633587786259515
53,17-JAN-2024,13.5725,15.23,12.715,15.08,13.5725,1.51,11.11,-1.5415306492564407,7.889009793253539,-3.4095030830613027
54,18-JAN-2024,15.08,15.705,12.98,14.07,15.08,-1.01,-6.7,11.107017867010502,17.424940136305032,-1.1051759071652263
55,19-JAN-2024,14.07,14.1125,13.6775,13.8775,14.07,-0.19,-1.37,-6.6976127320954895,7.22811671087533,-10.842175066312997
56,20-JAN-2024,13.8775,14.2475,13.0975,13.8025,13.8775,-0.07,-0.54,-1.3681592039801052,1.421464108031267,-1.6702203269367535
57,23-JAN-2024,13.8025,15.405,12.195,14.8525,13.8025,1.05,7.61,-0.5404431633939779,5.080165735903441,-3.206629436137635
58,24-JAN-2024,14.8525,15.6475,14.03,14.375,14.8525,-0.48,-3.21,7.607317514942938,19.253758377105587,-4.002898025719979
59,25-JAN-2024,14.375,15.3375,13.36,13.865,14.375,-0.51,-3.55,-3.214946978623122,2.3228412725130494,-8.56758121528363
60,29-JAN-2024,13.865,15.8475,13.795,15.68,13.865,1.81,13.09,-3.5478260869565204,3.513043478260875,-10.243478260869567
61,30-JAN-2024,15.68,16.575,14.9875,16.1025,15.68,0.42,2.69,13.090515686981604,13.595384060584204,-1.2080778939776446
62,31-JAN-2024,16.1025,16.5325,15.8,16.0475,16.1025,-0.05,-0.34,2.6945153061224456,7.110969387755092,-3.013392857142858
63,01-FEB-2024,16.0475,16.1075,14.36,14.455,16.0475,-1.59,-9.92,-0.3415618692749556,1.5370284117373,-3.01195466542462
64,02-FEB-2024,14.455,15.1325,14.025,14.6975,14.455,0.24,1.68,-9.923664122137401,0.5919925221997236,-10.29755413615829
65,05-FEB-2024,14.6975,16.05,14.6975,15.6175,14.6975,0.92,6.26,1.67762020062262,4.652369422345205,-3.0093393289519232
66,06-FEB-2024,15.6175,15.9825,15.0875,15.785,15.6175,0.17,1.07,6.259567953733628,6.259567953733628,-2.94267732607587
67,07-FEB-2024,15.785,16.0175,14.74,15.505,15.785,-0.28,-1.77,1.0725148071074144,4.466143748999518,-1.2646070113654542
68,08-FEB-2024,15.505,16.0275,15.2425,15.8275,15.505,0.32,2.08,-1.7738359201773795,4.84637313905607,-3.246753246753231
69,09-FEB-2024,15.8275,16.3325,15.265,15.4475,15.8275,-0.38,-2.4,2.0799742018703626,3.772976459206713,-1.2899064817800663
70,12-FEB-2024,15.4475,16.535,15.4475,16.0625,15.4475,0.62,3.98,-2.4008845364081552,1.1530563891960146,-5.591533722950559
71,13-FEB-2024,16.0625,16.57,15.7525,15.8075,16.0625,-0.26,-1.59,3.981226735717755,3.981226735717755,-3.0587473701246166
72,14-FEB-2024,15.8075,16.1975,15.34,15.435,15.8075,-0.37,-2.36,-1.5875486381323005,0.34241245136186593,-4.747081712062264
73,15-FEB-2024,15.435,15.6625,15.1125,15.225,15.435,-0.21,-1.36,-2.3564763561600426,0.6009805472086076,-4.823659655226956
74,16-FEB-2024,15.225,15.5525,14.9025,15.2225,15.225,-0.0,-0.02,-1.3605442176870803,0.728862973760926,-2.834467120181406
75,19-FEB-2024,15.2225,16.1175,13.7,16.0175,15.2225,0.79,5.22,-0.01642036124794419,2.101806239737276,-2.1674876847290645
76,20-FEB-2024,16.0175,16.36,14.2125,16.0725,16.0175,0.06,0.34,5.2225324355394855,15.22417474133683,-0.6569223189357952
77,21-FEB-2024,16.0725,16.31,15.68,15.9275,16.0725,-0.15,-0.9,0.34337443421260044,11.61229904791635,-1.7949118152021097
78,22-FEB-2024,15.9275,16.15,15.1325,15.1975,15.9275,-0.73,-4.58,-0.9021620780836916,1.5398973401773244,-2.3798413439103965
79,23-FEB-2024,15.1975,15.4425,14.84,14.9725,15.1975,-0.22,-1.48,-4.583267932820596,0.4080991994977209,-5.98022288494741
80,26-FEB-2024,14.9725,15.96,13.7575,15.6,14.9725,0.63,4.19,-1.4805066622799778,0.8718539233426569,-3.09261391676263
81,27-FEB-2024,15.6,15.9975,15.53,15.7275,15.6,0.13,0.82,4.191016864251123,12.305894139255297,-2.4044080814827264
82,28-FEB-2024,15.7275,16.74,15.31,16.33,15.7275,0.6,3.83,0.8173076923076891,1.2660256410256396,-1.7307692307692395
83,29-FEB-2024,16.33,16.5525,15.37,15.5725,16.33,-0.76,-4.64,3.8308694961055427,6.4854554124940265,-2.6068987442378013
84,01-MAR-2024,15.5725,15.6425,15.0,15.235,15.5725,-0.34,-2.17,-4.638701775872618,1.2400489895897158,-6.001224739742797
85,02-MAR-2024,15.235,15.415,13.53,14.9925,15.235,-0.24,-1.59,-2.1672820677476343,1.5090704768020513,-2.6167924225397377
86,04-MAR-2024,14.9925,15.3025,14.8225,14.9225,14.9925,-0.07,-0.47,-1.5917295700689185,9.599606170003284,-2.7732195602231666
87,05-MAR-2024,14.9225,15.165,14.1775,14.38,14.9225,-0.54,-3.64,-0.46690011672503107,0.6670001667500394,-2.5346006336501636
88,06-MAR-2024,14.38,14.71,13.905,14.295,14.38,-0.09,-0.59,-3.635449824091128,1.357011224660751,-5.260512648684861
89,07-MAR-2024,14.295,14.4325,13.56,13.6125,14.295,-0.68,-4.77,-0.5910987482614802,2.7121001390820623,-2.8859527121001456
90,11-MAR-2024,13.6125,14.5525,13.6125,13.995,13.6125,0.38,2.81,-4.774396642182576,0.3672612801678924,-5.736271423574666
91,12-MAR-2024,13.995,14.195,13.5775,13.6375,13.995,-0.36,-2.55,2.8099173553718897,2.8099173553718897,-4.095500459136829
92,13-MAR-2024,13.6375,15.005,13.5325,14.4325,13.6375,0.79,5.83,-2.554483744194355,0.4287245444801624,-3.9835655591282673
93,14-MAR-2024,14.4325,14.6825,13.5225,13.6225,14.4325,-0.81,-5.61,5.829514207149404,6.599450045829504,-4.197983501374898
94,15-MAR-2024,13.6225,14.3325,13.59,13.69,13.6225,0.07,0.5,-5.61233327559327,0.6928806513078098,-7.344534903862801
95,18-MAR-2024,13.69,14.615,13.69,13.895,13.69,0.21,1.5,0.4955037621581868,0.7340796476417665,-4.716461736098367
96,19-MAR-2024,13.895,14.445,13.875,14.1125,13.895,0.22,1.57,1.4974433893352819,1.4974433893352819,-5.2593133674214805
97,20-MAR-2024,14.1125,14.2825,13.085,13.4725,14.1125,-0.64,-4.53,1.5653112630442687,1.7092479309104045,-2.392947103274556
98,21-MAR-2024,13.4725,13.4725,12.3425,12.5125,13.4725,-0.96,-7.13,-4.5349867139061155,2.7457927369353357,-5.739592559787425
99,22-MAR-2024,12.5125,13.0475,11.81,12.22,12.5125,-0.29,-2.34,-7.125626275746898,1.261829652996845,-7.125626275746898
100,26-MAR-2024,12.22,13.1025,12.085,12.82,12.22,0.6,4.91,-2.337662337662327,3.2767232767232777,-6.613386613386604
101,27-MAR-2024,12.82,13.01,12.5325,12.7025,12.82,-0.12,-0.92,4.909983633387886,6.014729950900159,-2.3117839607201214
102,28-MAR-2024,12.7025,13.18,12.26,12.8325,12.7025,0.13,1.02,-0.9165366614664563,1.3260530421216843,-2.3985959438377473
103,01-APR-2024,12.8325,13.3575,12.005,12.0825,12.8325,-0.75,-5.84,1.023420586498713,4.506986813619364,-2.7356819523715816
104,02-APR-2024,12.0825,12.305,11.5975,11.6525,12.0825,-0.43,-3.56,-5.844535359438924,0.6039353204753461,-9.935710111046175
105,03-APR-2024,11.6525,11.8275,11.3125,11.3725,11.6525,-0.28,-2.4,-3.5588661286985293,0.4552038071591121,-5.400372439478584
106,04-APR-2024,11.3725,11.8375,10.86,11.22,11.3725,-0.15,-1.34,-2.402917828792099,0.5149109633125981,-3.9047414717871707
107,05-APR-2024,11.22,11.6825,11.035,11.3375,11.22,0.12,1.05,-1.3409540558364463,3.1655308859090017,-5.429764783468891
108,08-APR-2024,11.3375,11.7425,11.1325,11.61,11.3375,0.27,2.4,1.0472370766488388,2.696078431372551,-3.0748663101604174
109,09-APR-2024,11.61,11.6125,10.6175,11.355,11.61,-0.25,-2.2,2.403528114663718,4.211686879823587,-1.1686879823594292
110,10-APR-2024,11.355,11.355,10.985,11.1075,11.355,-0.25,-2.18,-2.19638242894056,6.352282515073219,-2.217915590008616
111,12-APR-2024,11.1075,11.605,11.1075,11.5325,11.1075,0.43,3.83,-2.1796565389696214,1.0788199031263803,-2.1796565389696214
112,15-APR-2024,11.5325,12.7375,11.3075,12.4675,11.5325,0.93,8.11,3.826243529146979,3.826243529146979,-0.652712131442717
113,16-APR-2024,12.4675,12.925,12.34,12.615,12.4675,0.15,1.18,8.107522219813559,10.058530240624323,-2.3412096249729144
114,18-APR-2024,12.615,13.3875,12.0275,13.04,12.615,0.42,3.37,1.1830759975937506,2.2057349107679998,-2.48646480850211
115,19-APR-2024,13.04,14.4125,11.915,13.4575,13.04,0.42,3.2,3.3690051525961073,8.026159334126035,-2.754657154181531
116,22-APR-2024,13.4575,13.4575,12.6125,12.7,13.4575,-0.76,-5.63,3.201687116564421,11.828987730061353,-7.323619631901841
117,23-APR-2024,12.7,12.7,9.8575,10.195,12.7,-2.5,-19.72,-5.628831506594838,0.6501950585175448,-5.628831506594838
118,24-APR-2024,10.195,11.1325,9.945,10.275,10.195,0.08,0.78,-19.724409448818893,2.6574803149606328,-19.724409448818893
119,25-APR-2024,10.275,11.4575,10.26,10.73,10.275,0.46,4.43,0.7846983815595888,3.236880823933301,-8.410985777341834
120,26-APR-2024,10.73,11.315,10.5875,10.925,10.73,0.2,1.82,4.428223844282239,4.574209245742098,-7.080291970802912
121,29-APR-2024,10.925,12.4875,10.925,12.235,10.925,1.31,11.99,1.8173345759552681,3.1453867660764248,-3.63466915191052
122,30-APR-2024,12.235,13.2125,12.235,12.87,12.235,0.63,5.19,11.990846681922186,11.990846681922186,-2.311212814645321
123,02-MAY-2024,12.87,13.9475,12.87,13.445,12.87,0.58,4.47,5.190028606456885,5.190028606456885,-2.7993461381283296
124,03-MAY-2024,13.445,15.3125,13.445,14.6175,13.445,1.17,8.72,4.467754467754476,4.467754467754476,-3.9044289044289004
